dzien_czas,id_farmy,zrodlo,temp_otoczenia,temp_modulu,naslonecznienie
2021-05-20 00:00:00,2,2_pv,22.8691498,20.8814503,0.0
2021-05-20 00:15:00,2,2_pv,23.5043851,21.389197,2.78e-05
2021-05-20 00:30:00,2,2_pv,24.6924041,22.5990835,0.000142
2021-05-20 00:45:00,2,2_pv,24.773829,23.0752604,0.0
2021-05-20 01:00:00,2,2_pv,24.6177442,22.8877731,0.0
2021-05-20 01:15:00,2,2_pv,24.4503948,22.7223561,0.0
2021-05-20 01:30:00,2,2_pv,24.3193421,22.5599709,0.0
2021-05-20 01:45:00,2,2_pv,24.3975557,22.5951737,0.0
2021-05-20 02:00:00,2,2_pv,24.4870089,22.7013214,0.0
2021-05-20 02:15:00,2,2_pv,24.3985955,22.7307885,0.0
2021-05-20 02:30:00,2,2_pv,24.2486186,22.4012268,0.0
2021-05-20 02:45:00,2,2_pv,24.0878297,22.2375164,0.0
2021-05-20 03:00:00,2,2_pv,23.9774054,22.2028169,0.0
2021-05-20 03:15:00,2,2_pv,23.8835538,22.1402619,0.0
2021-05-20 03:30:00,2,2_pv,23.8521369,22.3865652,0.0
2021-05-20 03:45:00,2,2_pv,24.0052146,22.4490357,0.0
2021-05-20 04:00:00,2,2_pv,23.9958813,22.4970916,0.0
2021-05-20 04:15:00,2,2_pv,24.1913432,23.2872008,3.31e-05
2021-05-20 04:30:00,2,2_pv,24.1612865,22.9103973,0.0
2021-05-20 04:45:00,2,2_pv,24.0017923,22.3370488,0.0
2021-05-20 05:00:00,2,2_pv,23.9188179,22.1762727,0.0
2021-05-20 05:15:00,2,2_pv,23.8938342,22.1860456,0.0
2021-05-20 05:30:00,2,2_pv,23.8693678,22.1268334,0.0
2021-05-20 05:45:00,2,2_pv,23.6861614,21.9874471,0.0004735
2021-05-20 06:00:00,2,2_pv,23.6419931,22.0882927,0.0131981
2021-05-20 06:15:00,2,2_pv,23.6592806,22.6049336,0.0329641
2021-05-20 06:30:00,2,2_pv,23.7310263,23.1057383,0.0532596
2021-05-20 06:45:00,2,2_pv,24.0094406,24.1170571,0.0815248
2021-05-20 07:00:00,2,2_pv,24.1948262,25.0956847,0.1068529
2021-05-20 07:15:00,2,2_pv,24.4360542,26.5604111,0.1742253
2021-05-20 07:30:00,2,2_pv,24.8954202,29.1492829,0.2957843
2021-05-20 07:45:00,2,2_pv,25.4576742,31.8375128,0.3489275
2021-05-20 08:00:00,2,2_pv,25.6953439,32.7339322,0.384472
2021-05-20 08:15:00,2,2_pv,26.1741954,34.1762287,0.3966988
2021-05-20 08:30:00,2,2_pv,26.4922254,35.8327427,0.4990015
2021-05-20 08:45:00,2,2_pv,26.7767497,36.661967,0.5012394
2021-05-20 09:00:00,2,2_pv,27.2586722,38.3759934,0.56975
2021-05-20 09:15:00,2,2_pv,27.7584269,40.6701761,0.6406315
2021-05-20 09:30:00,2,2_pv,28.2551522,42.3811708,0.6470725
2021-05-20 09:45:00,2,2_pv,28.4743033,43.5569895,0.6862953
2021-05-20 10:00:00,2,2_pv,28.6023407,44.1669975,0.7475098
2021-05-20 10:15:00,2,2_pv,28.9001739,45.3520432,0.8641144
2021-05-20 10:30:00,2,2_pv,29.4777477,46.9093881,0.849222
2021-05-20 10:45:00,2,2_pv,30.0492818,48.9098776,0.9121699
2021-05-20 11:00:00,2,2_pv,30.1708913,48.8913961,0.878214
2021-05-20 11:15:00,2,2_pv,30.5297893,49.1191932,0.9002839
2021-05-20 11:30:00,2,2_pv,31.0459269,51.2127357,0.9044259
2021-05-20 11:45:00,2,2_pv,31.3431274,52.3803884,0.892505
